marketGroupID,parentGroupID,marketGroupName,description,iconID,hasTypes
2,None,Blueprints,"Blueprints are data items used in industry for manufacturing, research and invention jobs",2703,0
4,None,Ships,"Capsuleer spaceships of all sizes and roles, including advanced and faction variants of many hull types",1443,0
5,1361,Standard Frigates,"Small, fast vessels suited to a variety of purposes.",1443,0
6,1367,Standard Cruisers,"The middle children of the starship industry, but not to be underestimated.",1443,0
7,1376,Standard Battleships,The foundations of any respectable fighting force.,1443,0
8,1382,Standard Industrial Ships,Built for the transportation of vast amounts of cargo.,1443,0
9,None,Ship Equipment,"Equipment modules for spaceships, including many types of weapon, electronic, engineering, armor, shield and propulsion systems",1432,0
10,9,Turrets & Bays,Weapon systems to inflict damage on enemy targets,365,0
11,None,Ammunition & Charges,"Ammunition for turret, missile and bomb systems can be found in this category, together with cap booster charges, mining crystals, probes, nanite repair paste and module scripts",1299,0
14,9,Hull & Armor ,Modules that strengthen the physical frame of a spaceship against external dangers,68,0
19,None,Trade Goods,"Many unusual goods are traded by capsuleers, including various tags, chips, tokens, charters and tools that are used in special activities or have exchange value with non-capsuleers",2340,0
20,19,Industrial Goods,Various products used in a variety of industries,1192,1
22,19,Radioactive Goods,"Chemicals and waste, pulsing with radiation. Can be bought and sold for profit",29,1
23,19,Passengers,Ferrying passengers can give a nice profit,2543,1
24,None,Implants & Boosters,"Capsuleers have several options for modifying their personal capabilities, including cybernetic implants and biochemical boosters",2563,0
27,24,Implants,Implants improve a pilot's performance in various areas. They cannot be removed once inserted,2062,0
52,9,Propulsion ,Modules that affect the navigational properties of a spaceship,72,0
54,1031,Ore,Chunks of raw material harvested from asteroids.,1277,0
61,5,Caldari,Caldari frigate designs.,20966,1
64,5,Minmatar,Minmatar frigate designs.,20968,1
65,1035,Advanced Components,Components used in the manufacture of Tech II vessels and equipment.,2199,0
72,5,Amarr,Amarr frigate designs.,20959,1
73,6,Minmatar,Minmatar cruiser designs.,20968,1
74,6,Amarr,Amarr cruiser designs.,20959,1
75,6,Caldari,Caldari cruiser designs.,20966,1
76,6,Gallente,Gallente cruiser designs.,20967,1
77,5,Gallente,Gallente frigate designs.,20967,1
78,7,Minmatar,Minmatar battleship designs.,20968,1
79,7,Amarr,Amarr battleship designs.,20959,1
80,7,Caldari,Caldari battleship designs.,20966,1
81,7,Gallente,Gallente battleship designs.,20967,1
82,8,Minmatar,Minmatar industrial designs.,20968,1
83,8,Gallente,Gallente industrial designs.,20967,1
84,8,Caldari,Caldari industrial designs.,20966,1
85,8,Amarr,Amarr industrial designs.,20959,1
86,10,Hybrid Turrets,Hybrid turrets are specifically designed to house railguns and blasters.,376,0
87,10,Projectile Turrets,Built to house cannons capable of firing superheated gunshells.,387,0
88,10,Energy Turrets,Laser turrets are built to house beam and pulse lasers.,352,0
99,11,Projectile Ammo,"Metal-cased shells, fired by artillery guns and autocannons",1004,0
100,11,Hybrid Charges,Charges with a plasma core designed for railguns and blasters,1047,0
101,11,Frequency Crystals,Modulate energy into several different frequencies for beam lasers and pulse lasers ,1131,0
102,851,Small,"Small frequency crystals, for use with frigate-sized lasers.",1142,1
103,851,Medium,"Medium frequency crystals, for use with cruiser-sized lasers.",1142,1
105,851,Large,"Large frequency crystals, for use with battleship-sized lasers.",1142,1
106,848,Large,"Large hybrid shells, fired by battleship-sized guns.",1047,1
107,848,Small,"Small hybrid shells, fired by frigate-sized guns.",1047,1
108,848,Medium,"Medium hybrid shells, fired by cruiser-sized guns.",1047,1
109,845,Large,"Large projectile shells, fired by battleship-sized guns.",1004,1
112,845,Medium,"Medium projectile shells, fired by cruiser-sized guns.",1004,1
113,845,Small,"Small projectile shells, fired by frigate-sized guns.",1004,1
114,11,Missiles,Self-propelled projectiles with various payloads,1334,0
115,114,Auto-Targeting,For when targeting systems fail.,1335,0
116,114,Defender,The anti-missile missile.,192,1
117,114,Light Missiles,Jet-propelled projectiles for standard-sized launchers.,192,0
118,114,Rockets,Hundreds of tiny bites will wear away even the toughest opponent.,1352,0
120,11,Probes,Deployed into space for scanning or disruption purposes,1723,0
126,554,Shield Rechargers,Provide an increase to the shield's recharge rate.,83,1
128,554,Remote Shield Boosters,Transfer shields to another ship.,86,0
131,52,Microwarpdrives,Ultra-advanced propulsion subsystems giving a massive speed boost.,10149,1
132,52,Propulsion Upgrades,Hull modifications designed to increase a ship's speed.,97,0
133,14,Armor Plates,Reinforced armor plates for additional protection.,79,0
134,14,Armor Repairers,Nano-assembler technology at its best. Repair armor on the fly.,80,0
135,14,Hull Upgrades,Hull modifications with various applications.,92,0
139,11,Cap Booster Charges,Give an instant boost to a spaceship's capacitor,1033,1
140,10,Missile Launchers,For the launching of jet-propelled guided missiles.,168,0
141,9,Smartbombs,Omnidirectional energy blasts that damage everything in a radius. Good against drones,112,0
143,10,Weapon Upgrades,Subsystems designed to improve weapon efficiency.,21440,0
150,None,Skills,"Skills are learned by capsuleer pilots using special data chips known as skillbooks, and these are available for almost any imaginable activity that can be carried out in space",33,0
157,None,Drones,Drones are semi-autonomous robotic devices used for military and industrial purposes throughout space.,1084,0
158,157,Mining Drones,Drones capable of mining asteroids for raw materials,1084,1
159,157,Combat Drones,Drones with combat capabilities,1084,0
